grade,gender,transgender,sexual_orientation,religion,ethnicity,physical_disability,learning_disability,parent_guardian,guardian_degree,language_at_home_number,book_in_home_number,book_read_number,computer_at_home_number,district,gpa,dei_01,dei_02,dei_03,dei_04,dei_fair_to_boys,"G_School Climate for Diversity, Equity, and Inclusion			",dei_05,dei_06,dei_07,dei_10,"G_School Climate Overall			",dei_11,dei_12,dei_13,dei_16,dei_17,dei_18,dei_21,dei_75,"G_Classroom Teaching Supporting Diversity, Equity, and Inclusion						",dei_24,dei_25,dei_26,"G_Co-curricular Activities Supporting Diversity, Equity, and Inclusion		",dei_27,dei_28,dei_29,"G_School Commitment to Diversity, Equity, and Inclusion",dei_30,dei_31,dei_32,dei_35,dei_36,dei_37,"G_Everyday Discrimination by Students					",dei_48,dei_49,dei_50,dei_53,dei_54,dei_55,"G_Everyday Discrimination by Teachers					",dei_72,dei_73,dei_74,dei_76,"G_Outcomes					",dei_80,dei_81,dei_82,dei_83,dei_84,"G_Meaningful Interactions Across Difference				"
11,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Attended some college or earned a 2-year degree,2,25-99,0-5,"Yes, two",8,4,5,5,5,5,5,5,3,3,4,3,3.25 ,,5,5,5,5,5,5,,5.00 ,4,4,5,4.333333333,2,3,2,2.333333333,1,2,1,1,1,1,1.166666667,1,2,1,1,1,1,1.166666667,4,5,4,4.00 ,4.25 ,4,2,4,4,4,3.6
6,I don't know,No,I don't know,None,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,0-10,5-10,"Yes, one",8,4,5,5,5,5,5,5,4,5,4,5,4.50 ,,1,1,2,1,1,1,,1.17 ,0,0,4,1.333333333,4,5,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,4,1,1,1,1,1.6
6,Male,,,,,,,Single Parent,,,,,,8,,3,3,3,3,3,3,1,3,3,3,2.50 ,,1,2,,1,2,2,,1.60 ,1,1,0,0.666666667,3,3,3,3,3,3,3,3,3,1,2.666666667,,,,,,,,4,4,4,3.50 ,3.88 ,,,,,,
11,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,25-99,0-5,"Yes, one",8,3,5,5,5,5,5,5,4,4,5,4,4.25 ,,4,2,3,4,4,4,,3.50 ,0,0,0,0,3,3,3,3,3,3,3,3,1,1,2.333333333,1,1,1,1,1,1,1,4,5,4,4.00 ,4.25 ,2,3,2,2,2,2.2
10,Female,No,I don't know,None,White,No,Yes,Parents,Finished high school,1,0-10,0-5,"Yes, three or more",8,5,5,5,5,5,5,5,1,3,3,3,2.50 ,,1,2,1,1,2,1,,1.33 ,0,0,0,0,3,3,3,3,1,1,1,3,2,2,1.666666667,1,1,1,1,1,1,1,3,3,1,0.50 ,1.88 ,5,4,1,4,4,3.6
10,Male,No,Heterosexual,Hindu,White,No,No,Stepparent,Finished a professional or graduate degree after college,1,0-10,0-5,"Yes, three or more",8,2,4,4,5,3,4,4,3,2,3,2,2.50 ,,2,2,1,2,2,2,,1.83 ,0,0,1,0.333333333,3,2,2,2.333333333,2,2,2,3,2,3,2.333333333,2,2,1,2,1,1,1.5,3,3,3,1.50 ,2.63 ,2,3,4,4,1,2.8
6,Male,Yes,Heterosexual,None,White,No,No,Single Parent,,2,More than 250,More than 15,"Yes, three or more",8,6,3,3,3,3,3,3,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,4,5,2.50 ,3.38 ,1,1,1,1,1,1
6,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,3,25-99,0-5,"Yes, two",8,7,4,3,4,5,5,4,3,3,3,4,3.25 ,,4,4,3,4,2,5,,3.67 ,0,0,0,0,2,3,3,2.666666667,3,3,3,3,3,4,3.166666667,3,3,3,3,3,2,2.833333333,4,3,1,0.50 ,2.13 ,5,5,5,5,5,5
10,Male,No,,,Black or African American,No,No,Single Parent,I don't know,1,0-10,0-5,"Yes, three or more",8,2,5,5,5,5,5,5,5,5,5,5,5.00 ,,2,2,2,1,2,2,,1.83 ,5,5,5,5,2,3,2,2.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.50 ,1.63 ,1,1,1,1,1,1
11,Male,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Finished high school,1,0-10,0-5,"Yes, three or more",8,3,4,4,4,4,4,4,3,4,4,4,3.75 ,,1,3,3,3,3,3,,2.67 ,1,1,1,1,4,4,4,4,1,3,1,2,1,1,1.5,1,1,1,1,1,1,1,2,4,5,4.00 ,3.75 ,3,3,3,3,3,3
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,11-24,More than 15,"Yes, three or more",8,4,5,5,5,5,5,5,4,4,5,5,4.50 ,,2,1,1,1,2,2,,1.50 ,4,4,0,2.666666667,3,3,3,3,1,1,1,3,1,1,1.333333333,1,1,1,1,1,1,1,5,5,5,3.50 ,4.63 ,5,5,5,5,5,5
11,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Finished a 4-year college degree,1,11-24,0-5,"Yes, one",8,3,5,5,5,5,5,5,4,4,5,5,4.50 ,,3,4,4,4,4,4,,3.83 ,5,5,5,5,5,5,5,5,2,1,1,1,1,1,1.166666667,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,4,5,3,5,4,4.2
10,Female,No,I don't know,None,White,No,No,Stepparent,Attended some college or earned a 2-year degree,1,More than 250,5-10,"Yes, three or more",8,4,4,4,4,4,3,4,5,5,5,5,5.00 ,,5,5,5,5,5,5,,5.00 ,1,1,4,2,5,5,5,5,1,2,2,2,2,2,1.833333333,1,1,1,1,1,1,1,5,4,4,2.50 ,3.88 ,5,5,5,5,5,5
9,Female,No,Heterosexual,None,White,Yes,No,Parents,Finished high school,1,11-24,5-10,"Yes, one",8,1,4,4,5,5,5,4.5,3,4,5,5,4.25 ,,3,3,2,4,3,3,,3.00 ,4,1,4,3,3,3,4,3.333333333,3,4,3,4,3,3,3.333333333,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,2,2,4,4,4,3.2
11,Male,No,Heterosexual,Christian,White,No,No,Single Parent,Finished a professional or graduate degree after college,2,11-24,5-10,"Yes, three or more",8,3,5,5,5,3,4,4.5,3,4,3,4,3.50 ,,4,4,4,4,4,4,,4.00 ,5,5,5,5,3,4,4,3.666666667,4,3,4,2,3,3,3.166666667,1,1,1,1,1,1,1,4,4,4,4.00 ,4.00 ,2,2,2,2,2,2
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Did not finish high school,2,11-24,More than 15,"Yes, three or more",8,4,5,5,5,4,5,4.75,3,4,5,5,4.25 ,,2,2,4,4,4,4,,3.33 ,,,,,4,4,5,4.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.00 ,4.75 ,3,3,3,4,4,3.4
12,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Single Parent,Did not finish high school,2,0-10,0-5,"Yes, three or more",8,3,5,5,5,5,5,5,5,5,5,5,5.00 ,,1,1,1,1,1,1,,1.00 ,0,0,0,0,5,4,5,4.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,3.00 ,4.00 ,1,1,1,1,1,1
8,Female,No,Bisexual,Christian,White,No,No,Single Parent,I don't know,1,25-99,0-5,"Yes, one",8,3,5,2,3,4,3,3.5,3,4,4,3,3.50 ,,4,5,5,3,1,1,,3.17 ,0,0,0,0,2,3,2,2.333333333,2,2,1,3,1,2,1.833333333,3,1,3,4,1,1,2.166666667,1,4,1,2.00 ,2.00 ,4,3,4,4,4,3.8
9,Male,No,Heterosexual,None,White,No,,Parents,Finished a 4-year college degree,1,100-250,0-5,"Yes, three or more",8,4,3,3,3,4,4,3.25,3,3,4,3,3.25 ,,2,2,2,1,3,2,,2.00 ,0,0,0,0,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,3,4,2,1.00 ,2.50 ,1,1,1,1,1,1
9,Male,No,Heterosexual,None,White,No,No,Single Parent,I don't know,1,0-10,0-5,"Yes, three or more",8,1,5,4,4,4,4,4.25,4,4,4,3,3.75 ,,1,1,2,1,1,1,,1.17 ,0,0,0,0,4,4,3,3.666666667,3,3,3,3,1,1,2.333333333,3,3,3,3,1,1,2.333333333,2,4,1,2.50 ,2.38 ,1,1,1,1,1,1
11,Male,No,Heterosexual,Christian,White,No,No,Single Parent,Finished a professional or graduate degree after college,1,25-99,5-10,"Yes, three or more",8,3,4,4,4,4,4,4,4,4,4,4,4.00 ,,4,4,4,4,4,4,,4.00 ,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,3.00 ,3.75 ,4,4,4,4,4,4
11,Male,No,Gay/Lesbian/Queer,Other,Black or African American,No,No,Single Parent,Finished high school,1,0-10,0-5,"Yes, two",8,1,3,3,5,3,3,3.5,2,3,4,4,3.25 ,,3,3,3,1,1,2,,2.17 ,1,5,4,3.333333333,3,4,3,3.333333333,2,2,4,2,1,1,2,1,1,1,1,1,1,1,4,4,3,3.50 ,3.63 ,5,5,5,5,5,5
9,Male,No,Heterosexual,None,White,No,No,Parents,Attended some college or earned a 2-year degree,1,25-99,0-5,"Yes, one",8,2,5,5,5,5,5,5,5,4,4,4,4.25 ,,4,4,2,4,4,2,,3.33 ,1,0,0,0.333333333,5,5,5,5,2,1,2,2,1,2,1.666666667,1,1,1,1,1,1,1,3,5,5,3.00 ,4.00 ,4,2,2,4,3,3
9,Male,No,I don't know,Other,Black or African American,No,No,Parents,Finished high school,1,25-99,5-10,"Yes, two",8,2,5,5,5,5,5,5,3,3,5,4,3.75 ,,3,3,4,3,4,4,,3.50 ,4,4,4,4,3,3,4,3.333333333,2,3,3,2,1,1,2,2,2,2,3,1,1,1.833333333,2,4,3,3.50 ,3.13 ,3,3,2,2,1,2.2
7,Male,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,I don't know,1,0-10,0-5,"Yes, two",8,7,4,2,5,3,3,3.5,4,3,3,1,2.75 ,,1,1,2,2,1,3,,1.67 ,1,0,5,2,3,3,5,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,2.00 ,2.50 ,4,1,4,1,1,2.2
10,Male,No,Heterosexual,Christian,White,No,Yes,Stepparent,I don't know,1,25-99,0-5,"Yes, three or more",8,3,4,5,5,5,5,4.75,3,3,3,4,3.25 ,,2,2,5,3,4,4,,3.33 ,1,1,1,1,3,3,3,3,3,5,5,5,1,2,3.5,4,4,4,3,1,1,2.833333333,2,4,3,3.50 ,3.13 ,3,4,4,4,4,3.8
9,Male,No,I don't know,None,White,No,No,Single Parent,Finished high school,1,11-24,0-5,"Yes, three or more",8,3,5,5,5,5,5,5,5,5,5,5,5.00 ,,2,2,2,2,2,2,,2.00 ,1,1,1,1,3,4,3,3.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,5.00 ,4.75 ,2,2,2,2,2,2
10,Female,No,Heterosexual,Christian,Black or African American,No,No,Parents,Finished a professional or graduate degree after college,1,11-24,0-5,"Yes, three or more",8,3,3,5,5,3,3,4,4,5,5,4,4.50 ,,3,3,4,2,3,3,,3.00 ,1,1,1,1,4,4,3,3.666666667,2,2,2,2,1,1,1.666666667,2,2,2,2,2,2,2,5,5,5,4.00 ,4.75 ,4,3,4,4,4,3.8
9,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,11-24,0-5,No,8,2,5,5,,5,5,5,5,5,5,5,5.00 ,,1,2,1,3,3,1,,1.83 ,0,0,0,0,,3,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5.00 ,3.75 ,1,1,1,1,1,1
11,Male,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,2,,0-5,"Yes, three or more",8,2,3,3,3,3,3,3,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,4,,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.50 ,2.88 ,3,3,3,3,3,3
12,Male,No,Bisexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,Finished high school,4,25-99,5-10,"Yes, two",8,4,5,5,5,5,5,5,5,5,5,5,5.00 ,,3,3,3,3,3,3,,3.00 ,1,1,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,5.00 ,3.50 ,1,1,1,1,1,1
12,Female,No,Heterosexual,Christian,Black or African American,No,No,Single Parent,Did not finish high school,1,0-10,0-5,"Yes, three or more",8,3,3,3,3,3,3,3,2,3,3,2,2.50 ,,5,2,1,1,2,1,,2.00 ,0,0,0,0,4,4,4,4,4,4,5,3,1,2,3.166666667,3,3,3,3,3,3,3,3,3,3,0.50 ,2.38 ,3,3,3,3,3,3
7,Female,Yes,,,Black or African American,Yes,Yes,Single Parent,Attended some college or earned a 2-year degree,,11-24,5-10,"Yes, one",8,4,3,5,3,3,2,3.5,3,2,4,5,3.50 ,,3,4,4,5,4,2,,3.67 ,4,5,4,4.333333333,3,2,1,2,1,3,2,4,4,5,3.166666667,2,2,1,3,4,3,2.5,1,2,3,3.50 ,2.38 ,5,4,3,2,1,3
9,Male,No,I don't know,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,0-10,0-5,"Yes, one",8,3,5,3,4,4,4,4,3,4,4,4,3.75 ,,3,4,,5,5,3,,4.00 ,1,1,1,1,5,5,4,4.666666667,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,4.00 ,3.25 ,2,2,2,2,2,2
9,Male,No,Heterosexual,Other,White,No,No,Single Parent,Attended some college or earned a 2-year degree,1,11-24,0-5,"Yes, one",8,7,3,3,3,3,3,3,3,3,3,3,3.00 ,,4,3,3,3,3,3,,3.17 ,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.00 ,2.75 ,3,3,3,3,3,3
9,Male,No,Heterosexual,None,White,No,No,Parents,I don't know,1,11-24,0-5,"Yes, three or more",8,3,4,4,4,4,4,4,3,4,4,4,3.75 ,,2,2,1,1,2,2,,1.67 ,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,3.00 ,3.75 ,2,3,2,2,2,2.2
7,Male,Yes,Heterosexual,None,Black or African American,No,No,Single Parent,I don't know,1,0-10,0-5,No,8,7,2,2,2,2,2,2,1,2,2,2,1.75 ,,3,3,3,3,3,3,,3.00 ,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.00 ,2.50 ,3,3,3,,3,3
12,Male,Yes,Gay/Lesbian/Queer,Muslim,Black or African American,No,No,Other Adult,Finished a 4-year college degree,1,100-250,0-5,"Yes, one",8,3,5,5,5,5,5,5,5,5,5,5,5.00 ,,4,2,5,1,5,5,,3.67 ,0,0,0,0,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5.00 ,5.00 ,1,1,1,1,1,1
12,Female,No,Gay/Lesbian/Queer,None,White,Yes,No,Single Parent,Did not finish high school,1,0-10,0-5,"Yes, one",8,3,4,4,3,3,2,3.5,3,3,3,2,2.75 ,,4,4,4,4,4,4,,4.00 ,0,0,0,0,1,2,3,2,4,4,2,4,2,2,3,3,2,2,1,1,1,1.666666667,1,3,1,0.50 ,1.38 ,1,1,4,1,3,2
9,Male,No,Heterosexual,None,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,0-10,0-5,"Yes, three or more",8,,5,4,5,4,4,4.5,4,4,4,4,4.00 ,,3,3,4,4,4,5,,3.83 ,1,1,4,2,4,4,3,3.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3.50 ,2.63 ,1,1,1,1,1,1
11,I don't know,No,I don't know,Christian,White,Yes,Yes,Stepparent,Attended some college or earned a 2-year degree,3,25-99,5-10,"Yes, one",8,7,3,3,3,3,3,3,3,3,3,3,3.00 ,,3,3,3,3,3,3,,3.00 ,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.50 ,2.88 ,3,3,3,3,3,3
9,Female,No,Bisexual,None,White,No,No,Single Parent,I don't know,1,11-24,More than 15,"Yes, one",8,2,5,5,5,5,5,5,,5,5,5,5.00 ,,3,4,5,5,5,5,,4.50 ,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,1.50 ,3.13 ,5,5,5,5,5,5
12,Female,No,Heterosexual,Buddhist,Asian,No,No,Parents,Finished high school,1,0-10,0-5,"Yes, one",8,,4,5,5,4,4,4.5,3,4,4,3,3.50 ,,2,2,2,2,2,2,,2.00 ,1,1,1,1,3,3,3,3,2,2,2,2,1,1,1.666666667,2,2,2,1,1,1,1.5,3,3,3,1.50 ,2.63 ,2,2,2,3,2,2.2
10,Female,No,Heterosexual,Christian,"Hispanic, Latino, or Spanish",No,No,Parents,I don't know,2,11-24,5-10,"Yes, two",8,6,4,5,5,5,5,4.75,5,5,4,4,4.50 ,,5,5,5,5,5,5,,5.00 ,5,5,4,4.666666667,2,1,1,1.333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4.50 ,4.88 ,5,5,5,5,5,5
11,Male,No,Heterosexual,Agnostic,White,No,No,Parents,Finished high school,1,0-10,0-5,"Yes, one",8,2,2,3,4,3,3,3,3,3,3,3,3.00 ,,3,2,4,3,3,2,,2.83 ,1,4,1,2,3,4,4,3.666666667,3,3,4,3,4,4,3.5,2,4,3,,2,2,2.6,3,2,2,3.00 ,2.50 ,3,3,4,3,3,3.2
